k, get_knn_function, get_label_function, pca_parameters, accuracy, macro_precision, macro_recall, macro_F1, execution_time, d
3, get_knn_e_dist, get_label_by_knn, 4, 0.841437632135, 0.841609883408, 0.845082922914, 0.843342827524, 0.6390225887298584, 4
3, get_knn_e_dist, get_label_by_wknn, 4, 0.8044397463, 0.805520572534, 0.807260470581, 0.80638958304, 0.6479809284210205, 4
3, get_knn_e_dist_with_kdtree, get_label_by_knn, 4, 0.809725158562, 0.813901298981, 0.812782518444, 0.813341523982, 0.9005520343780518, 4
3, get_knn_e_dist_with_kdtree, get_label_by_wknn, 4, 0.787526427061, 0.789311290895, 0.789775516257, 0.789543335339, 0.9248964786529541, 4
3, get_knn_m_dist, get_label_by_knn, 4, 0.837209302326, 0.838846822589, 0.841030375652, 0.839937179997, 8.14194130897522, 4
3, get_knn_m_dist, get_label_by_wknn, 4, 0.811839323467, 0.815291382552, 0.814872618739, 0.815081946859, 8.179766178131104, 4
5, get_knn_e_dist, get_label_by_knn, 4, 0.845665961945, 0.84883675222, 0.848708613573, 0.84877267806, 0.6311318874359131, 4
5, get_knn_e_dist, get_label_by_wknn, 4, 0.828752642706, 0.830775514731, 0.831832469402, 0.831303656102, 0.6500954627990723, 4
5, get_knn_e_dist_with_kdtree, get_label_by_knn, 4, 0.816067653277, 0.817720795637, 0.819591980687, 0.81865531893, 0.992830753326416, 4
5, get_knn_e_dist_with_kdtree, get_label_by_wknn, 4, 0.815010570825, 0.816688483628, 0.817478000668, 0.817083051428, 1.012563705444336, 4
5, get_knn_m_dist, get_label_by_knn, 4, 0.837209302326, 0.839601947482, 0.841570624763, 0.840585133448, 8.250356197357178, 4
5, get_knn_m_dist, get_label_by_wknn, 4, 0.829809725159, 0.832657165286, 0.833638737095, 0.833147662081, 8.167790412902832, 4
